$GROWTH FACTOR OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         OCT 13, 2014; 10:45:28
                                                                                
*RUN   1        : DRYLAND  - 0 KG N/HA      CSCER045 KSAS8101    1              
 MODEL          : CSCER045 - Wheat                                              
 EXPERIMENT     : KSAS8101 WH                                                   
 DATA PATH      :                                                               
 TREATMENT  1   : DRYLAND  - 0 KG N/HA      CSCER045                            
  
!........DATES.......  TEMP STAGE  ...PHENOLOGY....  .......PHOTOSYNTHESIS.......  .....GROWTH.....  ..TILLERS. WATER STRESS DETERMINANTS N STRESS DETERMINANTS       
@YEAR DOY   DAS   DAP TMEAN  GSTD    DU VRNFD DYLFD  TFPD  WFPD  NFPD CO2FD RSFPD  TFGD  WFGD  NFGD  WFTD  NFTD WAVRD WUPRD  SWXD  EOPD  SNXD LN%RD SN%RD RN%RD      
 1981 289    10     0  12.8   0.0  12.8  1.00  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00   7.4   0.0 180.6  0.00  0.00  0.00
 1981 290    11     1  16.1   5.6   0.0  1.00  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00   8.7   0.0 181.3  0.00  0.00  0.00
 1981 291    12     2   9.4   6.5   0.0  0.98  0.00  0.00  0.00  0.00 -0.01  0.00  0.06  0.00  0.00  0.00  0.00 99.90  1.00   9.9   0.0 181.9  0.00  0.00  1.00
 1981 292    13     3  12.2   7.8   0.2  0.98  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  11.8   0.0 182.6  0.00  0.00  1.00
 1981 293    14     4  17.5   9.7   0.4  0.98  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  14.9   0.0 183.3  0.00  0.00  1.00
 1981 294    15     5  11.7  10.0   0.3  0.97  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  16.8   0.0 183.9  0.00  0.00  1.00
 1981 295    16     6   6.2  10.1   0.1  0.95  0.50  0.00  0.00  0.00 -0.01  0.00  0.38  0.00  0.00  0.00  0.00 99.90  1.00  17.4   0.0 184.7  1.00  0.00  1.00
 1981 296    17     7   1.9  10.1   0.1  0.92  0.50  0.61  0.00  0.00 -0.01  0.00  0.81  0.00  0.00  0.00  0.00 99.90 15.00  17.1   0.0 185.4  0.99  0.00  1.00
 1981 297    18     8   6.1  10.2   0.2  0.90  0.51  0.00  0.00  0.01 -0.01  0.00  0.39  0.00  0.01  0.00  0.01 99.90 15.00  17.8   0.0 186.0  0.99  0.00  1.00
 1981 298    19     9   8.4  10.3   0.4  0.88  0.51  0.00  0.00  0.01 -0.01  0.00  0.16  0.00  0.01  0.00  0.01 99.90 15.00  21.5   0.0 186.6  0.99  0.00  1.00
 1981 299    20    10   7.8  10.4   0.4  0.86  0.52  0.00  0.00  0.01 -0.01  0.00  0.22  0.00  0.01  0.00  0.01 99.90 14.83  22.8   0.0 187.0  0.99  0.00  1.00
 1981 300    21    11  13.7  10.6   0.9  0.86  0.52  0.00  0.00  0.01 -0.01  0.00  0.00  0.00  0.01  0.00  0.01 99.90  9.83  24.4   0.0 187.4  1.00  0.10  1.00
 1981 301    22    12  16.2  10.8   1.1  0.86  0.53  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  7.11  26.4   0.0 187.7  1.00  0.25  1.00
 1981 302    23    13  17.5  11.0   1.2  0.86  0.53  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  5.31  28.7   0.0 188.0  1.00  0.37  1.00
