*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:51:49
                                                                                
*RUN   1        : 0 N check plot            SGCER045 ITHY8001    1              
 MODEL          : SGCER045 - Grain sorghum                                      
 EXPERIMENT     : ITHY8001 SG ICRISAT ALFISOL N 1980 EXPT 80-1                  
 DATA PATH      :                                                               
 TREATMENT  1   : 0 N check plot            SGCER045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172     0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1980 164     0     0     0     0.0  142.0   76.5   65.5    2.80    3.80    4.80    4.50    4.50    5.00    5.00    2.00    0.70    0.60    4.50    4.00    3.50    3.00    3.00    3.50    3.50    2.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1980 165     1     0     0     0.0  142.0   88.4   53.6    7.28    4.89    6.76    4.91    4.88    5.41    5.38    2.05    0.72    0.62    0.00    2.91    1.54    2.59    2.62    3.09    3.12    1.95    0.98    0.98    0.10   11.93    0.00    0.10    0.00    0.00    0.00
 1980 166     2     0     0     0.0  142.0   94.3   47.7    7.34    5.62    7.55    5.25    5.20    5.75    5.72    2.10    0.75    0.65    0.00    2.16    0.73    2.25    2.30    2.75    2.79    1.90    0.95    0.95    0.19   17.80    0.00    0.19    0.00    0.00    0.00
 1980 167     3     0     0     0.0  141.9   98.8   43.2    2.16    7.01   10.36    5.54    5.47    6.05    6.01    2.15    0.77    0.67    0.00    1.63    0.36    1.96    2.03    2.45    2.50    1.85    0.93    0.93    0.43   22.34    0.00    0.48    0.00   -0.05    0.00
 1980 168     4     0     0     0.0  141.8  102.2   39.6    1.90    5.65    9.15    7.85    5.66    6.28    6.12    2.17    0.79    0.69    0.00    1.37    0.14    1.72    1.79    2.18    2.24    1.81    0.91    0.91    0.87   25.81    0.00    1.02    0.00   -0.15    0.00
 1980 169     5     0     0     0.0  141.8  105.0   36.7    2.49    5.48    9.05    8.35    5.82    6.48    6.24    2.20    0.81    0.71    0.00    1.21    0.12    1.51    1.58    1.95    2.00    1.76    0.89    0.89    1.27   28.65    0.00    1.49    0.00   -0.22    0.00
 1980 170     6     0     0     0.0  141.7  107.5   34.2    3.84    5.46    8.68    8.82    5.91    6.61    6.22    2.21    0.82    0.72    0.00    1.01    0.11    1.35    1.41    1.75    1.80    1.72    0.87    0.87    1.71   31.15    0.00    1.98    0.00   -0.28    0.00
 1980 171     7     0     0     0.0  141.6  109.8   31.8    5.41    5.61    8.63    9.00    5.98    6.71    6.16    2.21    0.84    0.74    0.00    0.80    0.09    1.20    1.26    1.57    1.62    1.68    0.85    0.85    2.16   33.51    0.00    2.50    0.00   -0.34    0.00
 1980 172     8     0     0     0.0  141.6  112.1   29.5    7.07    5.86    8.75    9.01    6.04    6.78    6.09    2.22    0.85    0.76    0.00    0.55    0.06    1.06    1.12    1.40    1.46    1.63    0.83    0.83    2.58   35.75    0.00    2.98    0.00   -0.39    0.00
 1980 173     9     0     0     0.0  141.5  114.0   27.5    8.85    6.04    8.96    8.95    6.08    6.82    6.01    2.22    0.87    0.77    0.00    0.37    0.05    0.94    1.00    1.26    1.31    1.59    0.81    0.81    2.97   37.76    0.00    3.40    0.00   -0.44    0.00
 1980 174    10     0     0     0.0  141.5  115.9   25.6   10.72    6.17    9.13    8.89    6.11    6.85    5.93    2.23    0.88    0.79    0.00    0.24    0.03    0.83    0.88    1.11    1.16    1.55    0.79    0.79    3.32   39.65    0.00    3.79    0.00   -0.47    0.00
 1980 175    11     0     0     0.0  141.5  117.6   23.8   10.78    6.22    9.14    8.99    6.22    6.99    6.06    2.27    0.90    0.81    0.00    0.14    0.02    0.72    0.77    0.98    1.03    1.51    0.77    0.77    3.67   41.39    0.00    4.17    0.00   -0.50    0.00
 1980 176    12     0     0     0.0  141.4  119.1   22.3   10.85    6.24    9.14    9.08    6.32    7.10    6.18    2.31    0.92    0.82    0.00    0.08    0.02    0.62    0.67    0.87    0.91    1.47    0.75    0.75    4.00   42.92    0.00    4.51    0.00   -0.51    0.01
 1980 177    13     0     0     0.0  141.4  120.4   21.0   10.92    6.24    9.13    9.16    6.40    7.20    6.28    2.35    0.94    0.84    0.00    0.04    0.02    0.54    0.58    0.76    0.81    1.43    0.73    0.74    4.31   44.28    0.00    4.83    0.00   -0.52    0.05
 1980 178    14     0     0     0.0  141.4  121.5   19.8   10.99    6.21    9.12    9.22    6.47    7.29    6.37    2.39    0.96    0.86    0.00    0.02    0.02    0.48    0.51    0.68    0.72    1.39    0.72    0.72    4.59   45.43    0.00    5.10    0.00   -0.51    0.10
 1980 179    15     0     0     0.0  141.3  122.5   18.8   11.02    6.18    9.11    9.26    6.53    7.36    6.44    2.42    0.98    0.88    0.00    0.01    0.02    0.42    0.45    0.60    0.65    1.36    0.70    0.70    4.93   46.47    0.00    5.45    0.00   -0.52    0.19
 1980 180    16     0     0     0.0  141.1  123.2   17.9   11.05    6.14    9.08    9.30    6.58    7.43    6.51    2.46    0.99    0.89    0.00    0.00    0.02    0.37    0.40    0.54    0.58    1.32    0.68    0.69    5.25   47.41    0.00    5.77    0.00   -0.52    0.32
 1980 181    17     0     0     0.0  141.0  124.0   17.0   11.09    6.10    9.06    9.33    6.63    7.49    6.57    2.49    1.01    0.91    0.00    0.00    0.02    0.33    0.35    0.48    0.51    1.29    0.67    0.67    5.55   48.29    0.00    6.05    0.00   -0.50    0.42
 1980 182    18     0     0     0.0  140.9  124.7   16.3   11.12    6.06    9.04    9.35    6.67    7.54    6.63    2.52    1.03    0.93    0.00    0.00    0.02    0.29    0.31    0.42    0.46    1.26    0.65    0.65    5.83   49.09    0.00    6.31    0.00   -0.48    0.55
 1980 183    19     0     0     0.0  140.9  125.3   15.5    4.14    8.35   10.26    9.57    6.70    7.59    6.68    2.56    1.04    0.94    0.00    0.00    0.02    0.26    0.27    0.38    0.41    1.22    0.64    0.64    6.10   49.85    0.00    6.55    0.00   -0.45    0.66
 1980 184    20     0     0     0.0  140.8  125.9   14.9    4.29    7.82   10.80    9.93    6.68    7.56    6.59    2.57    1.05    0.95    0.01    0.00    0.03    0.23    0.24    0.33    0.37    1.19    0.62    0.62    6.38   50.53    0.00    6.80    0.00   -0.42    0.79
 1980 185    21     0     1     0.0  140.7  126.4   14.3    4.18    7.47   10.81   10.36    6.68    7.56    6.55    2.59    1.07    0.97    0.02    0.00    0.03    0.21    0.21    0.30    0.33    1.16    0.61    0.61    6.63   51.16    0.00    7.01    0.00   -0.38    0.87
 1980 186    22     0     1     0.0  140.6  126.8   13.8    4.83    6.94    9.88   11.14    6.66    7.53    6.48    2.60    1.08    0.98    0.02    0.01    0.03    0.19    0.19    0.27    0.30    1.13    0.59    0.59    6.87   51.71    0.00    7.21    0.00   -0.34    1.04
 1980 187    23     0     1     0.0  139.7  126.4   13.3    6.65    6.56    9.44   11.21    6.58    7.43    6.27    2.58    1.08    0.99    0.02    0.01    0.04    0.17    0.17    0.24    0.27    1.11    0.58    0.58    7.15   52.21    0.00    7.44    0.00   -0.29    1.94
 1980 188    24     0     1     0.0  138.9  126.0   12.9    8.42    6.38    9.35   11.02    6.51    7.32    6.07    2.57    1.09    0.99    0.01    0.02    0.04    0.16    0.16    0.22    0.24    1.08    0.57    0.57    7.42   52.70    0.02    7.66    0.00   -0.24    2.82
 1980 189    25     0     1     0.0  138.1  125.6   12.5    9.91    6.38    9.32   10.77    6.43    7.20    5.89    2.55    1.09    1.00    0.00    0.03    0.04    0.15    0.14    0.20    0.22    1.06    0.55    0.56    7.68   53.17    0.02    7.87    0.00   -0.19    3.63
 1980 190    26     0     1     0.0  137.0  124.9   12.1   11.47    6.24    9.19   10.48    6.35    7.09    5.72    2.54    1.10    1.01    0.00    0.03    0.03    0.14    0.13    0.18    0.20    1.03    0.54    0.54    7.95   53.64    0.02    8.09    0.00   -0.13    4.82
 1980 191    27     0     1     0.0  136.0  124.3   11.7   11.27    6.07    8.98   10.35    6.37    7.11    5.74    2.57    1.11    1.02    0.00    0.04    0.03    0.13    0.11    0.16    0.18    1.00    0.53    0.53    8.22   54.10    0.02    8.29    0.00   -0.07    5.89
 1980 192    28     0     1     0.0  134.5  123.3   11.3   10.94    5.86    8.69   10.15    6.38    7.12    5.76    2.59    1.13    1.03    0.01    0.04    0.02    0.12    0.10    0.14    0.16    0.98    0.52    0.52    8.48   54.56    0.02    8.48    0.00    0.00    7.40
 1980 193    29     0     1     0.0  133.1  122.1   10.9   10.62    5.64    8.40    9.93    6.39    7.14    5.77    2.62    1.14    1.05    0.01    0.04    0.02    0.11    0.09    0.13    0.14    0.95    0.51    0.51    8.71   54.99    0.02    8.64    0.00    0.07    8.95
 1980 194    30     0     1     0.0  131.8  121.2   10.6    9.67    5.81    8.16    9.74    6.40    7.15    5.78    2.64    1.15    1.06    0.01    0.05    0.02    0.11    0.08    0.11    0.13    0.93    0.49    0.49    8.95   55.39    0.02    8.81    0.00    0.14   10.27
 1980 195    31     0     1     0.0  129.3  119.0   10.3    8.98    5.53    7.69    9.34    6.41    7.16    5.80    2.66    1.16    1.07    0.02    0.05    0.02    0.10    0.07    0.10    0.12    0.91    0.48    0.48    9.20   55.77    0.02    8.98    0.00    0.22   12.85
 1980 196    32     0     1     0.0  126.8  116.8   10.0    8.49    5.62    7.26    8.91    6.36    7.10    5.71    2.66    1.17    1.08    0.02    0.06    0.02    0.10    0.06    0.09    0.10    0.88    0.47    0.47    9.43   56.15    0.02    9.13    0.00    0.30   15.40
 1980 197    33     0     1     0.0  121.8  112.1    9.7    8.23    5.04    6.43    8.08    6.29    7.00    5.58    2.66    1.18    1.08    0.03    0.06    0.02    0.09    0.06    0.08    0.09    0.86    0.46    0.46    9.64   56.50    0.02    9.27    0.00    0.37   20.53
 1980 198    34     0     1     0.0  121.9  112.4    9.5    8.65    5.10    6.43    8.09    6.27    6.97    5.54    2.67    1.18    1.09    0.03    0.06    0.02    0.09    0.05    0.08    0.09    0.84    0.45    0.45    9.86   56.84    0.02    9.41    0.00    0.45   20.53
 1980 199    35     0     1     0.0  121.4  112.2    9.2    8.99    5.05    6.35    8.01    6.25    6.94    5.50    2.68    1.19    1.10    0.02    0.06    0.02    0.09    0.04    0.07    0.08    0.82    0.44    0.44   10.06   57.18    0.02    9.53    0.00    0.53   21.07
 1980 200    36     0     1     0.0  115.9  106.9    9.0    7.62    4.28    5.43    7.12    6.25    6.95    5.51    2.69    1.20    1.11    0.02    0.07    0.02    0.08    0.04    0.06    0.07    0.80    0.43    0.43   10.24   57.50    0.02    9.63    0.00    0.60   26.69
 1980 201    37     0     1     0.0  110.0  101.3    8.7    6.20    3.49    4.47    6.16    6.25    6.95    5.51    2.71    1.21    1.12    0.02    0.07    0.01    0.08    0.04    0.06    0.06    0.78    0.42    0.42   10.39   57.81    0.02    9.72    0.00    0.67   32.60
 1980 202    38     0     1     0.0  105.7   97.3    8.5    5.21    2.91    3.85    5.41    6.26    6.96    5.52    2.73    1.22    1.13    0.01    0.06    0.01    0.07    0.03    0.05    0.06    0.77    0.41    0.41   10.52   58.10    0.02    9.78    0.00    0.74   36.95
 1980 203    39     0     1     0.0  105.8   97.5    8.3    5.27    2.91    3.86    5.42    6.26    6.96    5.52    2.75    1.23    1.14    0.02    0.06    0.01    0.07    0.03    0.05    0.05    0.75    0.40    0.40   10.65   58.39    0.02    9.85    0.00    0.80   36.95
 1980 204    40     0     1     0.0  102.7   94.7    8.0    2.91    3.31    3.46    4.85    6.26    6.96    5.53    2.77    1.24    1.15    0.02    0.06    0.01    0.07    0.03    0.04    0.05    0.73    0.39    0.39   10.77   58.67    0.02    9.91    0.00    0.86   40.12
 1980 205    41     0     1     0.0   97.8   89.9    7.9    1.12    2.31    3.92    4.02    6.23    6.92    5.48    2.77    1.25    1.16    0.06    0.06    0.01    0.06    0.02    0.04    0.04    0.71    0.39    0.39   10.95   58.93    0.02    9.99    0.00    0.96   45.13
 1980 206    42     0     1     0.0   97.9   90.2    7.7    1.06    2.23    4.14    4.07    6.22    6.91    5.46    2.78    1.25    1.16    0.08    0.08    0.02    0.06    0.02    0.03    0.04    0.70    0.38    0.38   11.14   59.18    0.02   10.07    0.00    1.07   45.13
 1980 207    43     0     1     0.0   96.6   89.0    7.6    0.66    1.76    3.78    4.20    6.21    6.90    5.45    2.80    1.26    1.17    0.09    0.10    0.02    0.06    0.02    0.03    0.04    0.68    0.37    0.37   11.32   59.43    0.02   10.15    0.00    1.18   46.49
 1980 208    44     0     1     0.0   95.8   88.3    7.5    0.44    1.40    3.00    4.55    6.21    6.89    5.44    2.81    1.27    1.18    0.10    0.12    0.03    0.06    0.02    0.03    0.03    0.66    0.36    0.36   11.49   59.66    0.02   10.21    0.00    1.28   47.42
 1980 209    45     0     1     0.0   91.0   83.7    7.4    0.34    0.95    2.01    3.41    6.19    6.88    5.42    2.82    1.28    1.19    0.11    0.14    0.04    0.06    0.02    0.03    0.03    0.65    0.35    0.35   11.66   59.88    0.02   10.27    0.00    1.39   52.32
 1980 210    46     0     1     0.0   90.5   83.3    7.2    0.34    0.86    1.85    3.36    6.19    6.87    5.41    2.83    1.28    1.19    0.12    0.15    0.04    0.07    0.02    0.02    0.03    0.64    0.35    0.35   11.83   60.10    0.03   10.33    0.00    1.50   52.92
 1980 211    47     0     1     0.0   86.4   79.3    7.1    0.30    0.48    1.02    2.41    6.17    6.84    5.38    2.84    1.29    1.20    0.12    0.16    0.04    0.07    0.01    0.02    0.03    0.62    0.34    0.34   12.01   60.33    0.04   10.39    0.00    1.62   57.13
 1980 212    48     0     1     0.0   83.9   76.9    7.0    0.17    0.27    0.56    1.72    6.24    6.83    5.37    2.85    1.30    1.21    0.11    0.17    0.05    0.08    0.01    0.02    0.02    0.61    0.33    0.33   12.22   60.59    0.04   10.46    0.00    1.76   59.79
