$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         OCT 13, 2014; 10:45:28
                                                                                
*RUN   1        : DRYLAND  - 0 KG N/HA      CSCER045 KSAS8101    1              
 MODEL          : CSCER045 - Wheat                                              
 EXPERIMENT     : KSAS8101 WH                                                   
 DATA PATH      :                                                               
 TREATMENT  1   : DRYLAND  - 0 KG N/HA      CSCER045                            
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNW0D SNW1D  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
 1981 289    10     0  12.8  -6.0  0.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00    46    46     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   162   -99  0.05  0.00   7.4  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  1.00  0.00
 1981 290    11     1  16.1  -6.0  5.58  0.00  0.00  0.00   0.0  0.00 0.000  0.00    46    46     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   162   -99  0.05  0.00   8.7  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  1.00  0.00
 1981 291    12     2   9.4  -6.0  6.54  0.00  0.00  0.00   0.0  0.00 0.000  0.00    46    45     1     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   162   -99  0.07  0.00   9.9  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.06  0.98  0.00
 1981 292    13     3  12.2  -6.0  7.81  0.00  0.00  0.00   0.0  0.00 0.000  0.00    46    44     2     0     0     0     0  0.00     0     0     0     0     0 .0058   0.0     0     0   162   -99  0.09  0.00  11.8  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.98  0.00
 1981 293    14     4  17.5  -6.0  9.69  0.00  0.00  0.00   0.0  0.00 0.000  0.00    46    43     3     0     0     0     0  0.00     0     0     0     0     0 .0190   0.0     0     0   162   -99  0.11  0.00  14.9  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.98  0.00
 1981 294    15     5  11.7  -6.0 10.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00    46    42     4     0     0     0     0  0.00     0     0     0     0     0 .0428   0.0     0     0   162   -99  0.13  0.00  16.8  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.97  0.00
 1981 295    16     6   6.2  -7.1 10.08  0.08  0.00  0.00   0.0  0.00 0.000  0.00    46    41     4     1     0     0     0  0.00     0     0     0     0     0 .0736   0.0     0     0   162   400  0.14  0.75  17.4  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.38  0.95  0.50
 1981 296    17     7   1.9  -8.5 10.11  0.11  0.00  1.06   0.1  0.00 0.000  0.00    46    41     4     1     0     0     0  0.00     0     0     0     0     0 0.108  11.1     0     0   162   397  0.14  0.75  17.1  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.61  0.81  0.92  0.50
 1981 297    18     8   6.1  -9.5 10.19  0.19  0.00  2.70   0.1  0.00 0.000  0.00    46    40     5     1     1     1     0  0.00     0     0     0     0     0 0.143  11.2     0     0   162   397  0.15  0.75  17.8  99.9 15.00  0.00  0.00  0.00  0.01  0.01  0.01   2.0  0.00  0.39  0.90  0.51
 1981 298    19     9   8.4 -10.0 10.30  0.30  0.01  2.70   0.2  0.01 0.001  0.01    46    38     5     3     2     1     0  0.00     0     0     0     0     0 0.182  12.1     0     0   162   397  0.16  0.75  21.5  99.9 15.00  0.00  0.00  0.00  0.01  0.01  0.01   2.0  0.00  0.16  0.88  0.51
 1981 299    20    10   7.8 -10.5 10.40  0.40  0.01  2.70   0.9  0.01 0.001  0.01    47    37     6     4     2     2     0  0.00     0     0     1     0     0 0.224  23.6     0     0   162   397  0.17  0.75  22.8  99.9 14.83  0.00  0.00  0.00  0.01  0.01  0.01   2.0  0.00  0.22  0.86  0.52
 1981 300    21    11  13.7 -10.4 10.58  0.58  0.01  2.70   1.3  0.01 0.001  0.02    48    34     7     8     4     4     0  0.00     0     0     2     0     0 0.271  27.0     0     0   162   397  0.19  0.75  24.4  99.9  9.83  0.00  0.00  0.00  0.01  0.01  0.01   2.0  0.00  0.00  0.86  0.52
 1981 301    22    12  16.2 -10.2 10.79  0.79  0.02  2.71   2.0  0.02 0.002  0.02    50    31     8    12     5     6     0  0.00     0     0     4     0     0 0.324  30.6     0     0   162   397  0.21  0.75  26.4  99.9  7.11  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.86  0.53
 1981 302    23    13  17.5 -10.0 11.02  1.02  0.02  2.72   3.0  0.03 0.003  0.03    53    27     9    17     7     9     0  0.00     0     0     6     0     0 0.384  34.8     0     0   162   396  0.23  0.75  28.7  99.9  5.31  0.00  0.00  0.00  0.00  0.00  0.00   1.7  0.00  0.00  0.86  0.53
 1981 303    24    14  16.1  -9.9 11.23  1.23  0.03  2.72   1.0  0.04 0.003  0.04    53    23    10    20     9    11     0  0.00     0     0     7     0     0 0.454  32.0     0     0   162   394  0.25  0.75  30.9  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   1.5  0.00  0.00  0.86  0.53
